# This file was machine generated by the rptp2ucm tool
ibm-1137_PMOD-1999.ucm,34B00471.RPMAPMOD,047134B0.TPMAP100
ibm-1140_P100-1997.ucm,44B00474.RPMAP100,047444B0.TPMAP100
ibm-1141_P100-1997.ucm,44B00475.RPMAP100,047544B0.TPMAP100
ibm-1142_P100-1997.ucm,44B00476.RPMAP100,047644B0.TPMAP100
ibm-1143_P100-1997.ucm,44B00477.RPMAP100,047744B0.TPMAP100
ibm-1144_P100-1997.ucm,44B00478.RPMAP100,047844B0.TPMAP100
ibm-1145_P100-1997.ucm,44B00479.RPMAP100,047944B0.TPMAP100
ibm-1146_P100-1997.ucm,44B0047A.RPMAP100,047A44B0.TPMAP100
ibm-1147_P100-1997.ucm,44B0047B.RPMAP100,047B44B0.TPMAP100
ibm-1148_P100-1997.ucm,44B0047C.RPMAP100,047C44B0.TPMAP100
ibm-1149_P100-1997.ucm,44B0047D.RPMAP100,047D44B0.TPMAP100
ibm-1153_P100-1999.ucm,44B00481.RPMAP100,048144B0.TPMAP100
ibm-1154_P100-1999.ucm,44B00482.RPMAP100,048244B0.TPMAP100
ibm-1155_P100-1999.ucm,44B00483.RPMAP100,048344B0.TPMAP100
ibm-1156_P100-1999.ucm,44B00484.RPMAP100,048444B0.TPMAP100
ibm-1157_P100-1999.ucm,44B00485.RPMAP100,048544B0.TPMAP100
ibm-1158_P100-1999.ucm,44B00486.RPMAP100,048644B0.TPMAP100
ibm-1159_P100-1999.ucm,44B00487.RPMAP100,048744B0.TPMAP100
ibm-1160_P100-1999.ucm,44B00488.RPMAP100,048844B0.TPMAP100
ibm-1161_P100-1999.ucm,44B00489.RPMAP100,048944B0.TPMAP100
ibm-1162_P100-1999.ucm,44B0048A.RPMAP100,048A44B0.TPMAP100
ibm-1163_P100-1999.ucm,44B0048B.RPMAP100,048B44B0.TPMAP100
ibm-1164_P100-1999.ucm,44B0048C.RPMAP100,048C44B0.TPMAP100
ibm-1165_P101-2000.ucm,44B0048D.RPMAP101,048D44B0.TPMAP101
ibm-1166_P100-2002.ucm,44B0048E.RPMAP100,048E44B0.TPMAP100
ibm-1167_P100-2002.ucm,44B0048F.RPMAP100,048F44B0.TPMAP100
ibm-1168_P100-2002.ucm,44B00490.RPMAP100,049044B0.TPMAP100
ibm-1174_X100-2007.ucm,44B00496.RXMAP100,049644B0.TXMAP100
ibm-1250_P100-1999.ucm,34B004E2.RPMAP100,04E234B0.TPMAP100
ibm-1251_P100-1995.ucm,34B004E3.RPMAP100,04E334B0.TPMAP100
ibm-1252_P100-2000.ucm,34B004E4.RPMAP100,04E434B0.TPMAP100
ibm-1253_P100-1995.ucm,34B004E5.RPMAP100,04E534B0.TPMAP100
ibm-1254_P100-1995.ucm,34B004E6.RPMAP100,04E634B0.TPMAP100
ibm-1255_P100-1995.ucm,34B004E7.RPMAP100,04E734B0.TPMAP100
ibm-1256_P110-1997.ucm,34B004E8.RPMAP110,04E834B0.TPMAP110
ibm-1257_P100-1995.ucm,34B004E9.RPMAP100,04E934B0.TPMAP100
ibm-1258_P100-1997.ucm,34B004EA.RPMAP100,04EA34B0.TPMAP100
ibm-12712_P100-1998.ucm,44B031A8.RPMAP100,31A844B0.TPMAP100
ibm-1275_P100-1995.ucm,34B004FB.RPMAP100,04FB34B0.TPMAP100
ibm-1275_X100-1995.ucm,34B004FB.RXMAP100,04FB34B0.TXMAP100
ibm-1276_P100-1995.ucm,34B004FC.RPMAP100,04FC34B0.TPMAP100
ibm-1277_P100-1995.ucm,34B004FD.RPMAP100,04FD34B0.TPMAP100
ibm-1280_P100-1996.ucm,34B00500.RPMAP100,050034B0.TPMAP100
ibm-1281_P100-1996.ucm,34B00501.RPMAP100,050134B0.TPMAP100
ibm-1282_P100-1996.ucm,34B00502.RPMAP100,050234B0.TPMAP100
ibm-1283_P100-1996.ucm,34B00503.RPMAP100,050334B0.TPMAP100
ibm-1284_P100-1996.ucm,34B00504.RPMAP100,050434B0.TPMAP100
ibm-1285_P100-1996.ucm,34B00505.RPMAP100,050534B0.TPMAP100
ibm-13121_P100-1995.ucm,44B03341.RPMAP100,334144B0.TPMAP100
ibm-13124_P100-1995.ucm,34B03344.RPMAP100,334434B0.TPMAP100
ibm-13124_P10A-1995.ucm,34B03344.RPMAP10A,334434B0.TPMAP100
