# This file was machine generated by the rptp2ucm tool
ibm-9005_X110-2007.ucm,54B0232D.RXMAP110,232D54B0.TXMAP110
ibm-901_P100-1999.ucm,44B00385.RPMAP100,038544B0.TPMAP100
ibm-9027_P100-1999.ucm,44B02343.RPMAP100,234344B0.TPMAP100
ibm-9027_X100-1999.ucm,44B02343.RXMAP100,234344B0.TXMAP100
ibm-902_P100-1999.ucm,44B00386.RPMAP100,038644B0.TPMAP100
ibm-9030_P100-1995.ucm,34B02346.RPMAP100,234634B0.TPMAP100
ibm-903_P100-1995.ucm,34B00387.RPMAP100,038734B0.TPMAP100
ibm-9042_P101-2000.ucm,44B02352.RPMAP101,235244B0.TPMAP101
ibm-9044_P100-1999.ucm,44B02354.RPMAP100,235444B0.TPMAP100
ibm-9048_P100-1998.ucm,44B02358.RPMAP100,235844B0.TPMAP100
ibm-9049_P100-1999.ucm,44B02359.RPMAP100,235944B0.TPMAP100
ibm-904_P100-1995.ucm,34B00388.RPMAP100,038834B0.TPMAP100
ibm-9056_P100-1995.ucm,34B02360.RPMAP100,236034B0.TPMAP100
ibm-905_P100-1995.ucm,34B00389.RPMAP100,038934B0.TPMAP100
ibm-9061_P100-1999.ucm,44B02365.RPMAP100,236544B0.TPMAP100
ibm-9064_P101-2000.ucm,44B02368.RPMAP101,236844B0.TPMAP101
ibm-9066_P100-1995.ucm,34B0236A.RPMAP100,236A34B0.TPMAP100
ibm-9067_X100-2005.ucm,54B0236B.RXMAP100,236B54B0.TXMAP100
ibm-912_P100-1999.ucm,34B00390.RPMAP100,039034B0.TPMAP100
ibm-913_P100-2000.ucm,44B00391.RPMAP100,039144B0.TPMAP100
ibm-9145_P110-1997.ucm,34B023B9.RPMAP110,23B934B0.TPMAP110
ibm-9145_X110-1997.ucm,34B023B9.RXMAP110,23B934B0.TXMAP110
ibm-914_P100-1995.ucm,34B00392.RPMAP100,039234B0.TPMAP100
ibm-915_P100-1995.ucm,34B00393.RPMAP100,039334B0.TPMAP100
ibm-916_P100-1995.ucm,34B00394.RPMAP100,039434B0.TPMAP100
ibm-918_P100-1995.ucm,34B00396.RPMAP100,039634B0.TPMAP100
ibm-918_X100-1995.ucm,34B00396.RXMAP100,039634B0.TXMAP100
ibm-920_P100-1995.ucm,34B00398.RPMAP100,039834B0.TPMAP100
ibm-921_P100-1995.ucm,34B00399.RPMAP100,039934B0.TPMAP100
ibm-922_P100-1999.ucm,34B0039A.RPMAP100,039A34B0.TPMAP100
ibm-9238_X110-1999.ucm,44B02416.RXMAP110,241644B0.TXMAP110
ibm-923_P100-1998.ucm,44B0039B.RPMAP100,039B44B0.TPMAP100
ibm-924_P100-1998.ucm,44B0039C.RPMAP100,039C44B0.TPMAP100
ibm-926_P100-2000.ucm,44B0039E.RPMAP100,039E44B0.TPMAP100
ibm-927_P100-1995.ucm,34B0039F.RPMAP100,039F34B0.TPMAP100
ibm-927_X100-1995.ucm,34B0039F.RXMAP100,039F34B0.TXMAP100
ibm-928_P100-1995.ucm,34B003A0.RPMAP100,03A034B0.TPMAP100
ibm-9306_P101-2000.ucm,44B0245A.RPMAP101,245A44B0.TPMAP101
ibm-930_P120-1999.ucm,34B003A2.RPMAP120,03A234B0.TPMAP110
ibm-930_P120_P12A-2006_U2.ucm,34B003A2.RPMAP120,03A234B0.TPMAP12A
ibm-930_X120-1999.ucm,34B003A2.RXMAP120,03A234B0.TXMAP110
ibm-931_P120-1999.ucm,44B003A3.RPMAP120,03A344B0.TPMAP110
ibm-931_X120-1999.ucm,44B003A3.RXMAP120,03A344B0.TXMAP110
ibm-932_P120-1999.ucm,34B003A4.RPMAP120,03A434B0.TPMAP110
ibm-932_P12A-1999.ucm,34B003A4.RPMAP12A,03A434B0.TPMAP11A
ibm-932_P12A_P12A-2000_U2.ucm,34B003A4.RPMAP12A,03A434B0.TPMAP12A
ibm-933_P110-1999.ucm,34B003A5.RPMAP110,03A534B0.TPMAP100
ibm-933_X110-1999.ucm,34B003A5.RXMAP110,03A534B0.TXMAP100
ibm-935_P110-1999.ucm,34B003A7.RPMAP110,03A734B0.TPMAP100
ibm-935_X110-1999.ucm,34B003A7.RXMAP110,03A734B0.TXMAP100
ibm-937_P110-1999.ucm,34B003A9.RPMAP110,03A934B0.TPMAP100
ibm-937_X110-1999.ucm,34B003A9.RXMAP110,03A934B0.TXMAP100
ibm-939_P120-1999.ucm,34B003AB.RPMAP120,03AB34B0.TPMAP110
ibm-939_P120_P12A-2005_U2.ucm,34B003AB.RPMAP120,03AB34B0.TPMAP12A
ibm-939_X120-1999.ucm,34B003AB.RXMAP120,03AB34B0.TXMAP110
ibm-941_P130-2001.ucm,34B003AD.RPMAP130,03AD34B0.TPMAP120
ibm-941_P13A-2001.ucm,34B003AD.RPMAP13A,03AD34B0.TPMAP12A
ibm-942_P120-1999.ucm,34B003AE.RPMAP120,03AE34B0.TPMAP110
ibm-942_P12A-1999.ucm,34B003AE.RPMAP12A,03AE34B0.TPMAP11A
ibm-942_P12A_P12A-2000_U2.ucm,34B003AE.RPMAP12A,03AE34B0.TPMAP12A
ibm-943_P130-1999.ucm,34B003AF.RPMAP130,03AF34B0.TPMAP120
ibm-943_P14A-1999.ucm,34B003AF.RPMAP14A,03AF34B0.TPMAP13A
ibm-943_P15A-2003.ucm,34B003AF.RPMAP15A,03AF34B0.TPMAP14A
ibm-9444_P100-2001.ucm,04B024E4.RPMAP100,24E404B0.TPMAP100
ibm-9444_P100-2005.ucm,44B024E4.RPMAP100,24E444B0.TPMAP100
ibm-9444_P100_P100-2005_MS.ucm,F20424E4.RPMAP100,24E4F204.TPMAP100
ibm-9447_P100-2002.ucm,44B024E7.RPMAP100,24E744B0.TPMAP100
ibm-9448_X100-2005.ucm,54B024E8.RXMAP100,24E854B0.TXMAP100
ibm-9449_P100-2002.ucm,44B024E9.RPMAP100,24E944B0.TPMAP100
ibm-944_P100-1995.ucm,34B003B0.RPMAP100,03B034B0.TPMAP100
ibm-944_X100-1995.ucm,34B003B0.RXMAP100,03B034B0.TXMAP100
ibm-946_P100-1995.ucm,34B003B2.RPMAP100,03B234B0.TPMAP100
ibm-947_P100-1995.ucm,34B003B3.RPMAP100,03B334B0.TPMAP100
ibm-947_X100-1995.ucm,34B003B3.RXMAP100,03B334B0.TXMAP100
ibm-948_P110-1999.ucm,34B003B4.RPMAP110,03B434B0.TPMAP100
ibm-948_X110-1999.ucm,34B003B4.RXMAP110,03B434B0.TXMAP100
ibm-949_P110-1999.ucm,34B003B5.RPMAP110,03B534B0.TPMAP100
ibm-949_P11A-1999.ucm,34B003B5.RPMAP11A,03B534B0.TPMAP10A
ibm-949_X110-1999.ucm,34B003B5.RXMAP110,03B534B0.TXMAP100
ibm-950_P110-1999.ucm,34B003B6.RPMAP110,03B634B0.TPMAP100
ibm-950_X110-1999.ucm,34B003B6.RXMAP110,03B634B0.TXMAP100
ibm-951_P100-1995.ucm,34B003B7.RPMAP100,03B734B0.TPMAP100
ibm-951_X100-1995.ucm,34B003B7.RXMAP100,03B734B0.TXMAP100
ibm-952_P110-1997.ucm,34B003B8.RPMAP110,03B834B0.TPMAP110
ibm-953_P100-2000.ucm,44B003B9.RPMAP100,03B944B0.TPMAP100
ibm-954_P101-2000.ucm,44B003BA.RPMAP101,03BA44B0.TPMAP101
ibm-955_P110-1997.ucm,34B003BB.RPMAP110,03BB34B0.TPMAP110
ibm-9577_P100-2001.ucm,04B02569.RPMAP100,256904B0.TPMAP100
ibm-9580_P110-1999.ucm,34B0256C.RPMAP110,256C34B0.TPMAP100
ibm-960_P100-2000.ucm,44B003C0.RPMAP100,03C044B0.TPMAP100
ibm-963_P100-1995.ucm,34B003C3.RPMAP100,03C334B0.TPMAP100
ibm-964_P110-1999.ucm,34B003C4.RPMAP110,03C434B0.TPMAP100
ibm-964_X110-1999.ucm,34B003C4.RXMAP110,03C434B0.TXMAP100
ibm-970_P110-1999.ucm,34B003CA.RPMAP110,03CA34B0.TPMAP100
ibm-970_P110_P110-2006_U2.ucm,34B003CA.RPMAP110,03CA34B0.TPMAP110
ibm-971_P100-1995.ucm,34B003CB.RPMAP100,03CB34B0.TPMAP100
